time_s,count,roll_deg,pitch_deg,yaw_deg,pps
0.060920,0,-7.19,-1.66,4.53,0
0.061909,0,-7.19,-1.66,4.53,0
0.062924,0,-7.19,-1.66,4.53,0
0.063882,0,-7.19,-1.66,4.53,0
0.064897,0,-7.19,-1.66,4.53,0
0.065905,0,-7.19,-1.66,4.53,0
0.066918,0,-7.19,-1.66,4.53,0
0.067929,0,-7.19,-1.66,4.53,0
0.068887,0,-7.19,-1.66,4.53,0
0.069895,0,-7.19,-1.66,4.53,0
0.070904,0,-7.19,-1.66,4.53,0
0.071917,0,-7.19,-1.66,4.53,0
0.072924,0,-7.19,-1.66,4.53,0
0.073887,0,-7.19,-1.66,4.53,0
0.074896,0,-7.19,-1.66,4.53,0
0.075905,0,-7.19,-1.66,4.53,0
0.076912,0,-7.19,-1.66,4.53,0
0.077926,0,-7.19,-1.66,4.53,0
0.078888,0,-7.19,-1.66,4.53,0
0.079898,0,-7.19,-1.66,4.53,0
0.080906,0,-7.19,-1.66,4.53,0
0.081917,0,-7.19,-1.66,4.53,0
0.082879,0,-7.19,-1.66,4.53,0
0.083888,0,-7.19,-1.66,4.53,0
0.084899,0,-7.19,-1.66,4.53,0
0.085909,0,-7.19,-1.66,4.53,0
0.086923,0,-7.19,-1.66,4.53,0
0.087887,0,-7.19,-1.66,4.53,0
0.088900,0,-7.19,-1.66,4.53,0
0.089913,0,-7.19,-1.66,4.53,0
0.090926,0,-7.19,-1.66,4.53,0
0.091887,0,-7.19,-1.66,4.53,0
0.092900,0,-7.19,-1.66,4.53,0
0.093913,0,-7.19,-1.66,4.53,0
0.094926,0,-7.19,-1.66,4.53,0
0.095886,0,-7.19,-1.66,4.53,0
0.096899,0,-7.19,-1.66,4.53,0
0.097908,0,-7.19,-1.66,4.53,0
0.098921,0,-7.19,-1.66,4.53,0
0.099883,0,-7.20,-1.65,4.53,0
0.100891,0,-7.20,-1.65,4.53,0
0.101904,0,-7.20,-1.65,4.53,0
0.102914,0,-7.20,-1.65,4.53,0
0.103928,0,-7.20,-1.65,4.53,0
0.104888,0,-7.20,-1.65,4.53,0
0.105900,0,-7.20,-1.65,4.53,0
0.106909,0,-7.20,-1.65,4.53,0
0.107920,0,-7.20,-1.65,4.53,0
0.108929,0,-7.20,-1.65,4.53,0
0.109890,0,-7.20,-1.65,4.53,0
0.110901,0,-7.20,-1.65,4.53,0
0.111910,0,-7.20,-1.65,4.53,0
0.112921,0,-7.20,-1.65,4.53,0
0.113883,0,-7.20,-1.65,4.53,0
0.114896,0,-7.20,-1.65,4.53,0
0.115908,0,-7.20,-1.65,4.53,0
0.116919,0,-7.20,-1.65,4.53,0
0.117931,0,-7.20,-1.65,4.53,0
0.118893,0,-7.20,-1.65,4.53,0
0.119908,0,-7.21,-1.65,4.53,0
0.120922,0,-7.21,-1.65,4.53,0
0.121881,0,-7.21,-1.65,4.53,0
0.122893,0,-7.21,-1.65,4.53,0
0.123904,0,-7.21,-1.65,4.53,0
0.124914,0,-7.21,-1.65,4.53,0
0.125924,0,-7.21,-1.65,4.53,0
0.126882,0,-7.21,-1.65,4.53,0
0.127897,0,-7.21,-1.65,4.53,0
0.128910,0,-7.21,-1.65,4.53,0
0.129921,0,-7.21,-1.65,4.53,0
0.130881,0,-7.21,-1.65,4.53,0
0.131891,0,-7.21,-1.65,4.53,0
0.132906,0,-7.21,-1.65,4.53,0
0.133918,0,-7.21,-1.65,4.53,0
0.134883,0,-7.21,-1.65,4.53,0
0.135892,0,-7.21,-1.65,4.53,0
0.136900,0,-7.21,-1.65,4.53,0
0.137908,0,-7.21,-1.65,4.53,0
0.138921,0,-7.21,-1.65,4.53,0
0.139883,0,-7.22,-1.64,4.54,0
0.140893,0,-7.22,-1.64,4.54,0
0.141907,0,-7.22,-1.64,4.54,0
0.142919,0,-7.22,-1.64,4.54,0
0.143881,0,-7.22,-1.64,4.54,0
0.144889,0,-7.22,-1.64,4.54,0
0.145900,0,-7.22,-1.64,4.54,0
0.146910,0,-7.22,-1.64,4.54,0
0.147920,0,-7.22,-1.64,4.54,0
0.148884,0,-7.22,-1.64,4.54,0
0.149894,0,-7.22,-1.64,4.55,0
0.150904,0,-7.22,-1.64,4.55,0
0.151918,0,-7.22,-1.64,4.55,0
0.152881,0,-7.22,-1.64,4.55,0
0.153895,0,-7.22,-1.64,4.55,0
0.154906,0,-7.22,-1.64,4.55,0
0.155920,0,-7.22,-1.64,4.55,0
0.156881,0,-7.22,-1.64,4.55,0
0.157892,0,-7.22,-1.64,4.55,0
0.158904,0,-7.22,-1.64,4.55,0
0.159916,0,-7.23,-1.63,4.55,0
0.160929,0,-7.23,-1.63,4.55,0
0.161887,0,-7.23,-1.63,4.55,0
0.162901,0,-7.23,-1.63,4.55,0
0.163912,0,-7.23,-1.63,4.55,0
0.164921,0,-7.23,-1.63,4.55,0
0.165881,0,-7.23,-1.63,4.55,0
0.166890,0,-7.23,-1.63,4.55,0
0.167903,0,-7.23,-1.63,4.55,0
0.168917,0,-7.23,-1.63,4.55,0
0.169927,0,-7.24,-1.63,4.55,0
0.170888,0,-7.24,-1.63,4.55,0
0.171900,0,-7.24,-1.63,4.55,0
0.172910,-1,-7.24,-1.63,4.55,0
0.173922,-1,-7.24,-1.63,4.55,0
0.174883,-1,-7.24,-1.63,4.55,0
0.175895,-1,-7.24,-1.63,4.55,0
0.176908,-1,-7.24,-1.63,4.55,0
0.177920,-1,-7.24,-1.63,4.55,0
0.178881,-1,-7.24,-1.63,4.55,0
0.179892,-1,-7.24,-1.62,4.55,0
0.180904,-1,-7.24,-1.62,4.55,0
0.181916,-1,-7.24,-1.62,4.55,0
0.182880,-1,-7.24,-1.62,4.55,0
0.183895,-1,-7.24,-1.62,4.55,0
0.184906,-1,-7.24,-1.62,4.55,0
0.185917,-1,-7.24,-1.62,4.55,0
0.186879,-1,-7.24,-1.62,4.55,0
0.187890,-1,-7.24,-1.62,4.55,0
0.188903,-1,-7.24,-1.62,4.55,0
0.189913,-1,-7.25,-1.62,4.55,0
0.190922,-1,-7.25,-1.62,4.55,0
0.191886,-1,-7.25,-1.62,4.55,0
0.192896,-1,-7.25,-1.62,4.55,0
0.193907,-1,-7.25,-1.62,4.55,0
0.194923,-1,-7.25,-1.62,4.55,0
0.195885,-1,-7.25,-1.62,4.55,0
0.196895,-1,-7.25,-1.62,4.55,0
0.197908,-1,-7.25,-1.62,4.55,0
0.198923,-1,-7.25,-1.62,4.55,0
0.199886,-1,-7.25,-1.62,4.54,0
0.200898,-1,-7.25,-1.62,4.54,0
0.201911,-1,-7.25,-1.62,4.54,0
0.202925,-1,-7.25,-1.62,4.54,0
0.203884,-1,-7.25,-1.62,4.54,0
0.204896,-1,-7.25,-1.62,4.54,0
0.205908,-1,-7.25,-1.62,4.54,0
0.206921,-1,-7.25,-1.62,4.54,0
0.207884,-1,-7.25,-1.62,4.54,0
0.208895,-1,-7.25,-1.62,4.54,0
0.209906,-1,-7.25,-1.62,4.53,0
0.210919,-1,-7.25,-1.62,4.53,0
